Facility Name,City,County,State,ZIP,Latitude,Longitude,Industry Sector,Carcinogen,Stack Air,Water,Underground,On-Site Release Total
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,ALVIN,BRAZORIA,TX,775110000,29.231225,-95.196088,Chemicals,YES,26047,0,0,3883584
BLANCHARD REFINING CO LLC,TEXAS CITY,GALVESTON,TX,77590,29.374444,-94.925,Petroleum,NO,12000,0,0,3833000
NEVADA GOLD MINES LLC - GOLDSTRIKE MINES INC,CARLIN,ELKO,NV,89822,40.974445,-116.349998,Metal Mining,NO,88,0,0,3763267
CHEMOURS JOHNSONVILLE PLANT,NEW JOHNSONVILLE,HUMPHREYS,TN,37134,36.043056,-87.981667,Chemicals,NO,735,195091,0,3758024
NEVADA GOLD MINES LLC - CARLIN SOUTH AREA,CARLIN,EUREKA,NV,89822,40.7813,-116.1858,Metal Mining,NO,222,0,0,3472422
VIBRANTZ SPECIALTY PRODUCTS LLC,NEW JOHNSONVILLE,HUMPHREYS,TN,37134,35.99622,-87.979395,Chemicals,NO,518,393,0,3437790
LOUISIANA PIGMENT CO LP,WESTLAKE,CALCASIEU PARISH,LA,70669,30.196389,-93.306944,Chemicals,NO,250,77000,0,3238255
HECLA LTD LUCKY FRIDAY MINE UNIT,MULLAN,SHOSHONE,ID,83846,47.470047,-115.78342,Metal Mining,NO,0.04,14.3,0,3235621.04
FREEPORT-MCMORAN BAGDAD INC,BAGDAD,YAVAPAI,AZ,86321,34.56849,-113.17552,Metal Mining,NO,0.7,0,0,3210286.7
BRUSHY CREEK MINE/MILL,BOSS,REYNOLDS,MO,65440,37.53797,-91.12926,Metal Mining,NO,16.81,47.24,0,3125491.26
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,ALVIN,BRAZORIA,TX,775110000,29.231225,-95.196088,Chemicals,NO,4709,581,0,3097452
HECLA LTD LUCKY FRIDAY MINE UNIT,MULLAN,SHOSHONE,ID,83846,47.470047,-115.78342,Metal Mining,NO,86.36,11.36,0,3084686.77
USS-CLAIRTON PLANT,CLAIRTON,ALLEGHENY,PA,15025,40.305088,-79.876911,Petroleum,NO,1,2913955,0,2915304
BUICK MINE/MILL,BOSS,IRON,MO,65440,37.60617,-91.12341,Metal Mining,NO,54.66,4.38,0,2877923.92
NYSTAR GORDONSVILLE MINE & MILL,GORDONSVILLE,SMITH,TN,38563,36.19631,-85.9364,Metal Mining,NO,981.3,1904.15,0,2868389.99
INEOS NITRILES USA LLC           GREEN LAKE PLANT,PORT LAVACA,CALHOUN,TX,77979,28.570964,-96.83341,Chemicals,NO,65617.02,490,0,2857684.46
CORNERSTONE CHEMICAL CO,WESTWEGO,JEFFERSON PARISH,LA,70094,29.958889,-90.270472,Chemicals,NO,92944,39220,0,2808239
RED DOG OPERATIONS,KOTZEBUE,NORTHWEST ARCTIC BOROUGH,AK,99752,68.061507,-162.855492,Metal Mining,NO,5,0,0,2806973
SWEETWATER MINE/MILL,ELLINGTON,REYNOLDS,MO,63638,37.358597,-91.147258,Metal Mining,NO,9.12,53.15,0,2790122.02
NEVADA GOLD MINES LLC - PHOENIX MINE,BATTLE MOUNTAIN,LANDER,NV,89820,40.50066,-117.10615,Metal Mining,NO,2.1,0,0,2712155.1
NEVADA GOLD MINES LLC - TURQUOISE RIDGE,GOLCONDA,HUMBOLDT,NV,89414,41.216,-117.212,Metal Mining,NO,0,122,0,2661353
PHILLIPS 66 CO-BAYWAY REFINERY,LINDEN,UNION,NJ,7036,40.640135,-74.21888,Petroleum,NO,0,2596400,0,2596400
CHEMOURS JOHNSONVILLE PLANT,NEW JOHNSONVILLE,HUMPHREYS,TN,37134,36.043056,-87.981667,Chemicals,NO,2562680,0,0,2562680
NEVADA GOLD MINES LLC - TURQUOISE RIDGE,GOLCONDA,HUMBOLDT,NV,89414,41.216,-117.212,Metal Mining,NO,7,620,0,2561998
FLETCHER MINE/MILL,CENTERVILLE,REYNOLDS,MO,63633,37.46674,-91.11035,Metal Mining,NO,55.05,11.47,0,2491941.77
VISCOFAN USA INC,DANVILLE,VERMILION,IL,61834,40.141166,-87.580436,Plastics and Rubber,NO,2422059,0,0,2433374
PCS NITROGEN OHIO L.P.,LIMA,ALLEN,OH,45804,40.717499,-84.132274,Chemicals,NO,2077489,4852,0,2429489
NEVADA GOLD MINES LLC-CORTEZ DISTRICT,CRESCENT VALLEY,LANDER,NV,89821,40.205,-116.6657,Metal Mining,NO,0,0,0,2427386
BRUSHY CREEK MINE/MILL,BOSS,REYNOLDS,MO,65440,37.53797,-91.12926,Metal Mining,NO,46.86,2.39,0,2404642.47
ADVANCION CORP,STERLINGTON,OUACHITA PARISH,LA,71280,32.6907,-92.0826,Chemicals,YES,1695,2,0,2395149
INEOS NITRILES USA LLC           GREEN LAKE PLANT,PORT LAVACA,CALHOUN,TX,77979,28.570964,-96.83341,Chemicals,YES,22306.64,0,0,2388067.61
NEVADA GOLD MINES LLC - TURQUOISE RIDGE,GOLCONDA,HUMBOLDT,NV,89414,41.216,-117.212,Metal Mining,NO,0,0,0,2351530
ADVANCION CORP,STERLINGTON,OUACHITA PARISH,LA,71280,32.6907,-92.0826,Chemicals,NO,418,0,0,2330750
INEOS PIGMENTS USA INC,ASHTABULA,ASHTABULA,OH,44004,41.889223,-80.763715,Chemicals,NO,2321000,0,0,2321000
RUBICON LLC,GEISMAR,ASCENSION PARISH,LA,70734,30.1989,-91.0085,Chemicals,YES,7000,0,0,2312500
BUICK MINE/MILL,BOSS,IRON,MO,65440,37.60617,-91.12341,Metal Mining,NO,63.32,97.81,0,2274458.53
P4 PRODUCTION LLC,SODA SPRINGS,CARIBOU,ID,83276,42.687031,-111.5878,Chemicals,NO,46069,304.1,0,2223526.47
CLIMAX MOLYBDENUM CO-CLIMAX MINE,CLIMAX,LAKE,CO,80429,39.368668,-106.182976,Metal Mining,NO,0.4,1.3,0,2219094.3
SWEETWATER MINE/MILL,ELLINGTON,REYNOLDS,MO,63638,37.358597,-91.147258,Metal Mining,NO,39.21,5.52,0,2175546
U.S. SILVER - IDAHO INC,WALLACE,SHOSHONE,ID,83873,47.48289,-115.961552,Metal Mining,NO,0,0,0,2173100
RED DOG OPERATIONS,KOTZEBUE,NORTHWEST ARCTIC BOROUGH,AK,99752,68.061507,-162.855492,Metal Mining,NO,2,14.56,0,2156372.56
WOOD RIVER REFINERY,ROXANA,MADISON,IL,62084,38.840401,-90.070774,Petroleum,NO,0,2134527,0,2134527
ONEOK HYDROCARBON LP - BUSHTON COMPLEX,BUSHTON,ELLSWORTH,KS,67427,38.522523,-98.355074,Natural Gas Processing,NO,1700,0,0,2066247.25
SMOKY VALLEY COMMON OPERATION,ROUND MOUNTAIN,NYE,NV,89045,38.716408,-117.101879,Metal Mining,NO,17,0,0,2000038
INEOS NITRILES USA LLC           GREEN LAKE PLANT,PORT LAVACA,CALHOUN,TX,77979,28.570964,-96.83341,Chemicals,YES,0,0,0,1992867
NYRSTAR CLARKSVILLE INC,CLARKSVILLE,MONTGOMERY,TN,37040,36.518398,-87.40293,Metal Mining,NO,93,489,0,1972176.82
VALERO REFINING - TEXAS L.P. HOUSTON REFINERY,HOUSTON,HARRIS,TX,77012,29.722274,-95.254401,Petroleum,NO,0,1962354,0,1962354
NEVADA GOLD MINES LLC - CARLIN SOUTH AREA,CARLIN,EUREKA,NV,89822,40.7813,-116.1858,Metal Mining,NO,113,0,0,1935292
FLETCHER MINE/MILL,CENTERVILLE,REYNOLDS,MO,63633,37.46674,-91.11035,Metal Mining,NO,7.62,12.7,0,1916379.03
RED DOG OPERATIONS,KOTZEBUE,NORTHWEST ARCTIC BOROUGH,AK,99752,68.061507,-162.855492,Metal Mining,YES,11,10.66,0,1834604.66
NYSTAR - YOUNG MINE & MILL,NEW MARKET,JEFFERSON,TN,37820,36.02634,-83.71224,Metal Mining,NO,4257,1923,0,1817085.67
OCEANAGOLD HAILE GOLD MINE,KERSHAW,LANCASTER,SC,29067,34.597431,-80.532552,Metal Mining,NO,16,5500,0,1805520.5
LSB CHEMICAL L.L.C.,PRYOR,MAYES,OK,74361,36.241247,-95.278349,Chemicals,NO,0,15891.91,0,1787847.53
VISKASE CORP,LOUDON,LOUDON,TN,37774,35.742,-84.326194,Plastics and Rubber,NO,1691000,0,0,1758000
ST LAWRENCE ZINC CO BALMAT 4 MINE & MILL,GOUVERNEUR,ST. LAWRENCE,NY,13642,44.265028,-75.408139,Metal Mining,NO,787,819,0,1733259
TRONOX LLC,HAMILTON,MONROE,MS,39746,33.730556,-88.4525,Chemicals,NO,0,81.5,0,1729446.5
ASARCO LLC MISSION COMPLEX,SAHUARITA,PIMA,AZ,85629,31.998092,-111.052412,Metal Mining,NO,5.907,0.518,0,1721113.706
EQUISTAR CHEMICALS CLINTON PLANT,CLINTON,CLINTON,IA,52732,41.807,-90.296,Chemicals,NO,541595.7,0,0,1719916
FORT KNOX MINE,FAIRBANKS,FAIRBANKS NORTH STAR BOROUGH,AK,99712,64.99953,-147.358107,Metal Mining,NO,29,0,0,1700156
CHEVRON PRODUCTS CO. DIV OF CHEVRON USA INC.,EL SEGUNDO,LOS ANGELES,CA,90245,33.9082,-118.4085,Petroleum,NO,0,1700000,0,1700000
FREEPORT-MCMORAN SIERRITA INC,GREEN VALLEY,PIMA,AZ,85614,31.876444,-111.100472,Metal Mining,NO,7.7,0,0,1673174.9
INEOS PIGMENTS USA INC,ASHTABULA,ASHTABULA,OH,44004,41.889223,-80.763715,Chemicals,NO,0,105000,0,1673000
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,ALVIN,BRAZORIA,TX,775110000,29.231225,-95.196088,Chemicals,YES,0,0,0,1665939
WHARF RESOURCES,LEAD,LAWRENCE,SD,57754,44.34444,-103.86166,Metal Mining,NO,0.17,0,0,1619385.16
ISP TECHNOLOGIES INC,TEXAS CITY,GALVESTON,TX,77590,29.428586,-94.968558,Chemicals,NO,0,0,0,1611579
BLANCHARD REFINING CO LLC,TEXAS CITY,GALVESTON,TX,77590,29.374444,-94.925,Petroleum,NO,185000,6400,0,1603400
COEUR ALASKA INC KENSINGTON GOLD PROJECT,JUNEAU,JUNEAU CITY AND BOROUGH,AK,99801,58.86749,-135.104756,Metal Mining,NO,3,183,0,1590186
TERRA NITROGEN L.P. VERDIGRIS PLANT,CLAREMORE,ROGERS,OK,74019,36.233516,-95.719098,Chemicals,NO,1313983,4949,0,1587016
INEOS NITRILES USA LLC,LIMA,ALLEN,OH,45804,40.71416,-84.13223,Chemicals,NO,1034,0,0,1565215
NEVADA GOLD MINES LLC - PHOENIX MINE,BATTLE MOUNTAIN,LANDER,NV,89820,40.50066,-117.10615,Metal Mining,NO,0,0,0,1560923
CF INDUSTRIES NITROGEN LLC-PORT NEAL NITROGEN COMPLEX,SERGEANT BLUFF,WOODBURY,IA,51054,42.328004,-96.363891,Chemicals,NO,899237,25042,0,1558809
NEVADA GOLD MINES LLC - TURQUOISE RIDGE,GOLCONDA,HUMBOLDT,NV,89414,41.216,-117.212,Metal Mining,NO,4,0,0,1532509
NEVADA GOLD MINES LLC - ARTURO MINE,CARLIN,ELKO,NV,89822,41.025306,-116.413314,Metal Mining,NO,0,0,0,1514485.1
FORT KNOX MINE,FAIRBANKS,FAIRBANKS NORTH STAR BOROUGH,AK,99712,64.99953,-147.358107,Metal Mining,YES,17,0,0,1500017
NEVADA GOLD MINES LLC - GOLDSTRIKE MINES INC,CARLIN,ELKO,NV,89822,40.974445,-116.349998,Metal Mining,NO,3,0,0,1496009
