fips,county,incidence_rate
48471.0,"Walker County, Texas(7)",529.7 
21035.0,"Calloway County, Kentucky(7)",529.4 
55067.0,"Langlade County, Wisconsin(6)",529.2 
22045.0,"Iberia Parish, Louisiana(7)",529.2 
29093.0,"Iron County, Missouri(6)",529.1 
19121.0,"Madison County, Iowa(7)",528.9 
21017.0,"Bourbon County, Kentucky(7)",528.9 
27023.0,"Chippewa County, Minnesota(6)",528.2 
21199.0,"Pulaski County, Kentucky(7)",527.8 
54053.0,"Mason County, West Virginia(6)",527.7 
21169.0,"Metcalfe County, Kentucky(7)",527.6 
38055.0,"McLean County, North Dakota(6)",527.4 
23019.0,"Penobscot County, Maine(6)",527.4 
13301.0,"Warren County, Georgia(7)",527.2 
46073.0,"Jerauld County, South Dakota(6)",527.2 
48343.0,"Morris County, Texas(7)",527.1 
46055.0,"Haakon County, South Dakota(6)",526.9 
8057.0,"Jackson County, Colorado(6)",526.8 
5021.0,"Clay County, Arkansas(6)",526.8 
12017.0,"Citrus County, Florida(6)",526.6 
48241.0,"Jasper County, Texas(7)",526.6 
51630.0,"Fredericksburg City, Virginia(6)",526.5 
19137.0,"Montgomery County, Iowa(7)",526.5 
54059.0,"Mingo County, West Virginia(6)",526.4 
38057.0,"Mercer County, North Dakota(6)",526.4 
51530.0,"Buena Vista City, Virginia(6)",526 
8017.0,"Cheyenne County, Colorado(6)",525.9 
19069.0,"Franklin County, Iowa(7)",525.7 
13013.0,"Barrow County, Georgia(7)",525.7 
31173.0,"Thurston County, Nebraska(6)",525.7 
31169.0,"Thayer County, Nebraska(6)",525.7 
51183.0,"Sussex County, Virginia(6)",525.4 
12083.0,"Marion County, Florida(6)",525.1 
21141.0,"Logan County, Kentucky(7)",525.1 
36057.0,"Montgomery County, New York(7)",525 
17079.0,"Jasper County, Illinois(7)",524.7 
13173.0,"Lanier County, Georgia(7)",524.6 
17057.0,"Fulton County, Illinois(7)",524.6 
29123.0,"Madison County, Missouri(6)",524.5 
36035.0,"Fulton County, New York(7)",524.4 
34029.0,"Ocean County, New Jersey(7)",524.3 
19041.0,"Clay County, Iowa(7)",523.8 
13189.0,"McDuffie County, Georgia(7)",523.7 
29187.0,"St. Francois County, Missouri(6)",523.5 
27005.0,"Becker County, Minnesota(6)",523.4 
21147.0,"McCreary County, Kentucky(7)",523.3 
36121.0,"Wyoming County, New York(7)",523.2 
22013.0,"Bienville Parish, Louisiana(7)",523.2 
48307.0,"McCulloch County, Texas(7)",522.8 
54087.0,"Roane County, West Virginia(6)",522.8 
40069.0,"Johnston County, Oklahoma(6)",522.7 
28051.0,"Holmes County, Mississippi(6)",522.6 
39053.0,"Gallia County, Ohio(6)",522.5 
54005.0,"Boone County, West Virginia(6)",522.3 
37103.0,"Jones County, North Carolina(6)",522.3 
37191.0,"Wayne County, North Carolina(6)",522.2 
21145.0,"McCracken County, Kentucky(7)",522.2 
19179.0,"Wapello County, Iowa(7)",522.2 
17189.0,"Washington County, Illinois(7)",522.2 
21117.0,"Kenton County, Kentucky(7)",522 
39141.0,"Ross County, Ohio(6)",521.9 
5041.0,"Desha County, Arkansas(6)",521.7 
48155.0,"Foard County, Texas(7)",521.5 
39001.0,"Adams County, Ohio(6)",521.2 
23009.0,"Hancock County, Maine(6)",520.9 
22069.0,"Natchitoches Parish, Louisiana(7)",520.7 
21153.0,"Magoffin County, Kentucky(7)",520.5 
47043.0,"Dickson County, Tennessee(6)",520.4 
19133.0,"Monona County, Iowa(7)",520.4 
19037.0,"Chickasaw County, Iowa(7)",520.4 
40111.0,"Okmulgee County, Oklahoma(6)",520.3 
22011.0,"Beauregard Parish, Louisiana(7)",520.2 
34025.0,"Monmouth County, New Jersey(7)",520 
37167.0,"Stanly County, North Carolina(6)",519.7 
21159.0,"Martin County, Kentucky(7)",519.6 
40097.0,"Mayes County, Oklahoma(6)",519.6 
19193.0,"Woodbury County, Iowa(7)",519.5 
12061.0,"Indian River County, Florida(6)",519.3 
37077.0,"Granville County, North Carolina(6)",519 
13257.0,"Stephens County, Georgia(7)",519 
40135.0,"Sequoyah County, Oklahoma(6)",518.9 
28017.0,"Chickasaw County, Mississippi(6)",518.8 
29055.0,"Crawford County, Missouri(6)",518.6 
40077.0,"Latimer County, Oklahoma(6)",518.5 
37153.0,"Richmond County, North Carolina(6)",518.5 
19107.0,"Keokuk County, Iowa(7)",518.5 
36069.0,"Ontario County, New York(7)",518.5 
2290.0,"Yukon-Koyukuk Census Area, Alaska(6)",518.4 
13305.0,"Wayne County, Georgia(7)",518.3 
46075.0,"Jones County, South Dakota(6)",518.3 
21049.0,"Clark County, Kentucky(7)",518.3 
36113.0,"Warren County, New York(7)",518.3 
21157.0,"Marshall County, Kentucky(7)",518.1 
31035.0,"Clay County, Nebraska(6)",518.1 
54083.0,"Randolph County, West Virginia(6)",518 
13171.0,"Lamar County, Georgia(7)",518 
27129.0,"Renville County, Minnesota(6)",517.7 
17001.0,"Adams County, Illinois(7)",517.6 
27117.0,"Pipestone County, Minnesota(6)",517.1 
22117.0,"Washington Parish, Louisiana(7)",517.1 
